"","Pnt_ID","Serial","DateTime","Micro_1","Breed_Col","bpmTempC","dwsTempOut","ModTempC"
"5087","5087","245744",2021-07-02 13:51:00,"Shade - Full","Can?t tell",40.9405941813078,35.3076786571103,49.1835257011243
"5090","5090","245762a",2021-07-02 13:58:00,"Shade - Full","Can?t tell",41.7804047419296,35.3289471942362,52.4274055290172
"5091","5091","245753",2021-07-02 14:01:00,"Burrow","",35.2443842073248,35.3352445272854,53.7746117418072
"5092","5092","229079",2021-07-02 14:02:00,"Shade - Full","",20.7194737060749,35.3369708409916,48.8492114704258
"5093","5093","252881",2021-07-02 14:05:00,"Burrow","",34.4419470516138,35.3410753813706,48.6361688368901
"5096","5096","229069",2021-07-02 14:09:00,"Burrow","",37.9603858847751,35.3441713882285,48.6275606066949
"5097","5097","245761",2021-07-02 14:10:00,"Burrow","",36.9439010144388,35.3445442306152,51.7111666550728
"5100","5100","229078",2021-07-02 14:15:00,"Burrow","",36.0499122390537,35.3441758902581,49.8025499343747
"5101","5101","252886",2021-07-02 14:17:00,"Burrow","",39.7917952788407,35.3430518070856,51.3754635915838
"5103","5103","229070a",2021-07-02 14:19:00,"Burrow","",36.0840212687616,35.3414114396356,51.7349325367917
"5105","5105","245742",2021-07-02 14:21:00,"Burrow","",35.7642483074999,35.3392826924964,50.7589208299497
"5107","5107","252883",2021-07-02 14:25:00,"Burrow","",35.5720696328639,35.3336716775033,50.2658406443587
"5110","5110","245752",2021-07-02 14:31:00,"Burrow","",33.6447154622102,35.3222899220501,50.8343290735223
"5112","5112","229063",2021-07-02 14:36:00,"Burrow","",32.9607201094928,35.3105666057328,51.9557384044421
"5113","5113","245748",2021-07-02 14:40:00,"Burrow","",36.6040193540352,35.3000366661361,53.2022619409591
"5114","5114","245741",2021-07-03 10:37:00,"Open","Can?t tell",45.6583255251812,31.5827354398941,46.3841281281217
"5125","5125","229079",2021-07-03 11:16:00,"Open","",20.7194737060749,32.4552405240526,46.2993920772205
"5136","5136","245761",2021-07-03 11:52:00,"Burrow","",31.3384766374595,33.3144324566556,48.8418516097673
"5137","5137","245762a",2021-07-03 11:57:00,"Shade - Full","Can?t tell",40.0605066219359,33.4309013145132,47.1276297071521
"5138","5138","245744",2021-07-03 12:05:00,"Open","Can?t tell",41.830369147433,33.613665181462,48.3737966588783
"5139","5139","245745",2021-07-03 12:08:00,"Shade - Full","Can?t tell",44.3709873057672,33.6809010238192,48.8754280175124
"5150","5150","245741",2021-07-03 13:13:00,"Shade - Full","",43.5371125937123,34.8891403553552,45.5796421726289
"5161","5161","245761",2021-07-03 13:47:00,"Burrow","",33.8228958570433,35.2561786411203,51.7037776741135
"5162","5162","245762a",2021-07-03 13:52:00,"Shade - Full","",41.7804047419296,35.2903338479946,49.4201730113057
"5163","5163","229079",2021-07-03 13:58:00,"Burrow","",16.8776122207034,35.3239566611315,48.027954079256
"5174","5174","245744",2021-07-03 14:37:00,"Shade - Full","",43.5817750144584,35.3655716096619,43.3190935350709
